# English project - TELECOM Nancy
# Yannick Philippe
# Yann Prono
#


# questions of yann
#What is the capital of wales?|Belfast|Cardiff|Swansea|Glasgow|1|https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Wales_2.svg/2000px-Flag_of_Wales_2.svg.png
#Who lives on 10 Downing street?|sir Arthur conan doyle|The Prime Minister|Sherlock holmes|The Prince of Wales|2|https://assets.publishing.service.gov.uk/government/assets/history/buildings/number-10-300-8ce94bd7c585b701c420d159f8c79f9b0a24b65860ef33fafcff92039c15870e.jpg
#

#Ms Chung has announced ____ retirement after 25 years of faithful service|his|her|their|its|1|
#The annual Family Day has been cancelled ___ of the bad weather|due|because|owing|out|1|
#The two countries ___ not only in their views on European integration, but also in their world view.|differ|differentiate|different|difference|0|
#In many emerging markets, local ___ are struggling in vain against foreign competition|production|products|produces|producers|3|
#There has been a big ___ in the performance of the northern sales force since Mr Leslie was appointed Regional Director|raising|review|permission|improvement|3|
#The CEO ___ performance was criticized at the recent shareholders' meeting has decided to resign|what|whose|which|that|1|
#We guarantee that ___ of our food products contain any preservatives or additives of any kind|none|nothing|not|no one|0|
#Our factory ___ down last year, so we are now outsourcing from a company in Poland|Will close|Either|However|In spite of|1|
#As soon as the goods ___ from Hong Kong, they will be checked and dispatched to the appropriate outlets|will arrive|had arrived|arrive|arrived|2|
